,feature,c_value
83,MKT_VAL_RATIO,0.5632441118885145
93,AWAY_MKT_VAL,0.5457579323946907
61,HOME_MKT_VAL,0.5441896288618238
29,HOME_LG_SHOTS_OT_H_L3W_COMB,0.5413328510552532
65,AWAY_L0S_FIFA_SCR_OVR,0.5407417004981141
21,HOME_L0S_FIFA_SCR_DEF,0.540720105957214
22,AWAY_L0S_FIFA_SCR_ATK,0.5394217341855979
27,HOME_LG_SHOTS_OT_L3W_COMB,0.53925527626616
63,HOME_L0S_FIFA_SCR_OVR,0.5392435792231725
47,HOME_LG_SHOTS_L3W_COMB,0.5391104128876221
23,AWAY_L0S_FIFA_SCR_DEF,0.5387091143358959
5,HOME_LG_SHOTS_L3W,0.5351388169070859
94,HOME_L0S_FIFA_SCR_ORT,0.5350758328294608
95,HOME_LG_SHOTS_OT_L3W,0.5343695113875212
70,HOME_LG_SHOTS_OT_H_L3W,0.5339259235265326
87,HOME_LG_SHOTS_L2W,0.5337468687915695
64,AWAY_L0S_FIFA_SCR_ORT,0.5336577913103568
50,HOME_LG_SHOTS_A_L3W,0.5297644755405834
35,AWAY_LG_SHOTS_OT_H_L3W_COMB,0.5293415824479571
88,HOME_LG_SHOTS_H_L1W,0.5281772767844289
12,AWAY_LG_GOALS_H_L3W_COMB,0.5251216492470705
89,AWAY_LG_GOALS_L2W,0.523962742218767
90,AWAY_LG_GOALS_H_L1W,0.5239204529095045
8,HOME_LG_SHOTS_A_L2W,0.523375190751778
62,HOME_L0S_FIFA_SCR_ATK,0.5233221041720654
49,HOME_LG_SHOTS_A_L1W,0.5227471495206012
82,H2H_TOT_SHOTS_HA_L3G,0.5226112838674384
6,HOME_LG_SHOTS_H_L2W,0.5226049854596758
32,AWAY_LG_SHOTS_OT_L2W,0.5223161584751375
17,AWAY_LG_SHOTS_H_L3W_COMB,0.5220633223920993
7,HOME_LG_SHOTS_H_L3W_COMB,0.5210591762402466
78,AWAY_LG_SHOTS_OT_A_L3W,0.5207541533500332
33,AWAY_LG_SHOTS_OT_L3W_COMB,0.5202709754973942
75,AWAY_LG_SHOTS_OT_H_L1W,0.5190787768852034
69,HOME_LG_SHOTS_OT_H_L1W,0.5188583326135152
92,AWAY_LG_SHOTS_H_L1W,0.5183175693184763
76,AWAY_LG_SHOTS_OT_H_L3W,0.5181978995709884
30,HOME_LG_SHOTS_OT_A_L2W,0.5177939017016499
34,AWAY_LG_SHOTS_OT_H_L2W,0.5177813048861248
91,AWAY_LG_SHOTS_L2W,0.5169445164262474
28,HOME_LG_SHOTS_OT_H_L2W,0.5166601883043966
42,HOME_LG_GOALS_L2W,0.5166142999049841
60,AWAY_LG_SHOTS_A_L3W,0.5154257003829432
57,AWAY_LG_SHOTS_L3W_COMB,0.5152691399614178
38,H2H_TOT_CORNERS_HA_L2G,0.5151512697590048
36,AWAY_LG_SHOTS_OT_A_L2W,0.5150504952348047
14,AWAY_LG_GOALS_A_L3W_COMB,0.5142568958567274
37,AWAY_LG_SHOTS_OT_A_L3W_COMB,0.513708034608851
