date,0_control_children_population_percentage,1_working_age_population_percentage,2_labor_force_participation_rate,3_inflation,4_population_not_rec_social_protection,birth_rate
1/1/1960,27.85987519,,,38.54374265,,22.075
1/1/1960,42.31971255,,,11.53315258,,44.539
1/1/1960,43.65261096,,,8.664459163,,47.198
1/1/1960,47.90593181,,,8.181818182,,41.888
1/1/1960,46.44194859,,,5.814762825,,44.904
1/1/1960,47.58971742,,,2.857142857,,45.47
1/1/1960,43.40348253,,,1.676599126,,44.27
1/1/1960,45.79788966,,,,,46.461
1/1/1960,46.55476646,,,,,43.02
1/1/1960,39.31648875,,,,,36.034
1/1/1960,43.141658,,,,,42.336
1/1/1960,30.72561693,,,,,23.682
1/1/1961,27.96581236,,,22.74726399,,22.007
1/1/1961,47.7698062,,,18.48739496,,41.62
1/1/1961,46.62735911,,,8.283194565,,44.667
1/1/1961,42.47491177,,,7.561493718,,44.279
1/1/1961,43.92485702,,,5.916789884,,47.046
1/1/1961,43.6567149,,,3.985625635,,44.047
1/1/1961,47.94391458,,,1.794179417,,45.118
1/1/1961,46.04315807,,,,,46.393
1/1/1961,47.01038906,,,,,42.124
1/1/1961,39.41124865,,,,,35.653
1/1/1961,43.30034918,,,,,42.029
1/1/1961,30.66018895,,,,,23.459
1/1/1962,28.02660023,,,1.974243812,,21.867
1/1/1962,44.17085803,,,6.641932636,,46.836
1/1/1962,42.67755609,,,5.879331422,,44.025
1/1/1962,46.78574284,,,4.697939562,,44.394
1/1/1962,43.99863699,,,2.878853147,,43.819
1/1/1962,48.15296023,,,2.184336134,,44.633
1/1/1962,47.71193071,,,1.418439716,,41.355
1/1/1962,46.28688703,,,,,46.121
1/1/1962,47.36419341,,,,,41.204
1/1/1962,39.56040905,,,,,35.238
1/1/1962,43.4320652,,,,,41.611
1/1/1962,30.56898821,,,,,23.242
1/1/1963,46.89391163,,,26.35543553,,44.056
1/1/1963,28.05380685,,,21.25469572,,21.661
1/1/1963,44.37273412,,,6.714388429,,46.556
1/1/1963,44.34786857,,,5.939595922,,43.583
1/1/1963,47.69186683,,,2.979297921,,41.083
1/1/1963,48.24912249,,,2.576131687,,43.99
1/1/1963,42.87655603,,,-0.763572146,,43.778
1/1/1963,46.50506788,,,,,45.607
1/1/1963,47.60791872,,,,,40.308
1/1/1963,39.70919373,,,,,34.787
1/1/1963,43.5107981,,,,,41.064
1/1/1963,30.44944834,,,,,23.038
1/1/1964,28.06493609,,,42.36941572,,21.406
1/1/1964,46.92533204,,,17.72435216,,43.625
1/1/1964,42.97803705,,,1.181818182,,43.539
1/1/1964,44.49791974,,,9.792284867,,46.196
1/1/1964,48.27010777,,,4.233879677,,43.186
1/1/1964,44.58302317,,,4.342453764,,43.334
1/1/1964,47.64970354,,,1.369863137,,40.791
1/1/1964,46.65638904,,,,,44.847
1/1/1964,47.73228606,,,,,39.471
1/1/1964,39.77356699,,,,,34.293
1/1/1964,43.50035175,,,,,40.392
1/1/1964,30.29879071,,,,,22.857
1/1/1965,28.06233501,,,56.55655656,,21.139
1/1/1965,44.53407188,,,16.38996139,,45.746
1/1/1965,46.87292349,,,7.596836693,,43.047
1/1/1965,47.55278901,,,3.859298158,,40.441
1/1/1965,44.65706396,,,3.697661757,,43.062
1/1/1965,42.94291491,,,2.862862863,,43.307
1/1/1965,48.2324823,,,1.934235977,,42.24
1/1/1965,46.71551027,,,,,43.849
1/1/1965,47.72914148,,,,,38.721
1/1/1965,39.7195592,,,,,33.739
1/1/1965,43.38552699,,,,,39.61
1/1/1965,30.11870725,,,,,22.709
1/1/1966,28.07794843,,,73.46269326,,20.909
1/1/1966,46.86626174,,,16.72816827,,42.269
1/1/1966,44.68493237,,,8.846374922,,45.195
1/1/1966,43.03806613,,,6.951871658,,43.083
1/1/1966,44.76083975,,,5.453726928,,42.755
1/1/1966,48.52594149,,,4.743833178,,41.191
1/1/1966,47.3022496,,,2.873194222,,39.992
1/1/1966,46.87218063,,,,,42.647
1/1/1966,47.67102921,,,,,38.075
1/1/1966,39.66204478,,,,,33.104
1/1/1966,43.35311999,,,,,38.741
1/1/1966,29.97572002,,,,,22.602
1/1/1967,28.05636028,,,89.27529729,,20.747
1/1/1967,42.98827625,,,11.2,,42.865
1/1/1967,48.67384555,,,1.688457971,,40.1
1/1/1967,44.71029423,,,9.783625663,,44.556
1/1/1967,46.75932511,,,8.328191364,,41.286
1/1/1967,44.71885574,,,3.818138157,,42.405
1/1/1967,47.01858243,,,1.365267592,,39.432
1/1/1967,46.85891619,,,,,41.321
1/1/1967,47.58008555,,,,,37.51
1/1/1967,39.50038484,,,,,32.38
1/1/1967,43.16474679,,,,,37.833
1/1/1967,29.80337737,,,,,22.546
1/1/1968,28.00952438,,,1,,20.672
1/1/1968,44.64614866,,,19.86618545,,43.848
1/1/1968,46.56915343,,,7.447538783,,40.129
1/1/1968,42.84314478,,,5.476235162,,42.654
1/1/1968,44.57239396,,,4.31765613,,42.005
1/1/1968,46.72034254,,,0.787357785,,38.774
1/1/1968,48.67749136,,,0.163666121,,39.014
1/1/1968,46.7271764,,,,,39.959
1/1/1968,47.44719054,,,,,36.998
1/1/1968,39.25348646,,,,,31.573
1/1/1968,42.87223027,,,,,36.934
1/1/1968,29.61717753,,,,,22.547
1/1/1969,27.95381543,,,2.966666666,,20.684
1/1/1969,48.53399773,,,11.27459839,,37.959
1/1/1969,46.30420859,,,6.981663796,,38.84
1/1/1969,44.38499655,,,6.326681449,,41.553
1/1/1969,44.53291517,,,6.236158679,,43.095
1/1/1969,46.42401493,,,2.246847536,,38.046
1/1/1969,42.67299409,,,2.297484725,,42.45
1/1/1969,46.53121079,,,,,38.625
1/1/1969,47.27407312,,,,,36.525
1/1/1969,38.95113402,,,,,30.697
1/1/1969,42.54032428,,,,,36.08
1/1/1969,29.44159039,,,,,22.61
1/1/1970,27.89149275,,,16.36144944,,20.762
1/1/1970,45.95983494,,,6.986227585,,37.506
1/1/1970,44.18905013,,,5.129987488,,41.044
1/1/1970,44.38817459,,,5.252359724,,42.335
1/1/1970,42.51339058,,,3.9555922,,42.261
1/1/1970,48.24401451,,,2.58842588,,36.931
1/1/1970,46.12462037,,,-0.859556217,,37.309
1/1/1970,46.28627567,,,,,37.394
1/1/1970,47.07802433,,,,,36.051
1/1/1970,38.60602382,,,,,29.774
1/1/1970,42.1974418,,,,,35.31
1/1/1970,29.29427693,,,,,22.759
1/1/1971,27.79772697,,,23.95388962,,20.873
1/1/1971,38.28461408,,,2.522241499,,28.827
1/1/1971,45.62485135,,,11.94298575,,36.229
1/1/1971,44.10039631,,,8.384253916,,40.478
1/1/1971,44.31030765,,,6.79639365,,41.613
1/1/1971,45.7113963,,,4.953256936,,36.636
1/1/1971,42.52018925,,,3.674614358,,42.092
1/1/1971,47.96778513,,,0.215551653,,35.909
1/1/1971,45.93008514,,,,,36.327
1/1/1971,46.43105352,,,,,35.53
1/1/1971,41.85165439,,,,,34.654
1/1/1971,29.20278174,,,,,23.02
1/1/1972,37.8864704,,,77.79573377,,27.889
1/1/1972,27.7908188,,,76.48492378,,20.97
1/1/1972,45.15593363,,,12.44444444,,35.095
1/1/1972,45.26273145,,,9.183749734,,36.093
1/1/1972,43.95826784,,,7.881893667,,39.864
1/1/1972,44.17613503,,,7.219722168,,40.953
1/1/1972,42.49722706,,,6.511544115,,41.944
1/1/1972,47.76179294,,,3.234286625,,34.872
1/1/1972,45.5511479,,,,,35.439
1/1/1972,45.81867392,,,,,34.936
1/1/1972,41.50470108,,,,,34.112
1/1/1972,29.13908268,,,,,23.387
1/1/1973,37.43445492,,,1,,26.995
1/1/1973,27.80618274,,,96.99726532,,21.012
1/1/1973,42.45795934,,,31.48628789,,41.813
1/1/1973,44.59939689,,,22.52964427,,34.166
1/1/1973,43.77682657,,,13.11762452,,39.215
1/1/1973,47.62070239,,,12.94813335,,33.818
1/1/1973,44.81592937,,,12.79689453,,35.72
1/1/1973,43.99545172,,,9.489519534,,40.365
1/1/1973,45.12563891,,,,,34.73
1/1/1973,45.27315472,,,,,34.269
1/1/1973,41.14154998,,,,,33.675
1/1/1973,29.1055728,,,,,23.833
1/1/1974,36.95364085,,,1,,26.171
1/1/1974,27.77290498,,,77.21341378,,20.981
1/1/1974,42.40562543,,,62.83675629,,41.69
1/1/1974,44.41989291,,,25.23331778,,35.531
1/1/1974,44.02341274,,,23.87967742,,33.461
1/1/1974,43.56009512,,,23.32135427,,38.544
1/1/1974,43.77626646,,,16.89166667,,39.845
1/1/1974,47.53066976,,,16.87619568,,32.773
1/1/1974,44.62746532,,,,,34.2
1/1/1974,44.82094526,,,,,33.544
1/1/1974,40.73972103,,,,,33.337
1/1/1974,29.10851938,,,,,24.318
1/1/1975,36.45610277,,,1,,25.44
1/1/1975,27.67333575,,,81.45384674,,20.858
1/1/1975,43.52665837,,,23.6187353,,39.361
1/1/1975,43.46743441,,,23.4375,,32.974
1/1/1975,43.30812459,,,15.36298569,,37.865
1/1/1975,47.45321987,,,8.447328423,,31.79
1/1/1975,42.34027122,,,7.976746255,,41.56
1/1/1975,44.09382858,,,6.693683667,,35.523
1/1/1975,44.05991114,,,,,33.823
1/1/1975,44.46028041,,,,,32.819
1/1/1975,40.29879261,,,,,33.083
1/1/1975,29.15467176,,,,,24.77
1/1/1976,35.89383009,,,1,,24.821
1/1/1976,27.62528995,,,5.623495646,,20.637
1/1/1976,43.35274245,,,33.48327566,,38.863
1/1/1976,42.79053931,,,19.83122363,,32.662
1/1/1976,43.09637896,,,1.671393751,,37.189
1/1/1976,45.89001671,,,1.69538328,,30.933
1/1/1976,42.38513248,,,4.494116477,,41.408
1/1/1976,43.58835203,,,4.474614747,,35.669
1/1/1976,43.45149792,,,,,33.557
1/1/1976,44.05364799,,,,,32.169
1/1/1976,39.91449491,,,,,32.894
1/1/1976,29.3238865,,,,,25.107
